date,side,position,player,team,result,firstbloodkill,firstbloodvictim,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,damagetakenperminute,damagemitigatedperminute,kd,apm,mkoj_pm,mkej_pm,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
4/9/2018 18:15,0,team,0,Team Ascent,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1943.4375,0.0,3.4863,1.4941,1042.6465,34.5703,18663.0,328.0,-549.0,440.0,27.0,29589.0,544.0,-903.0,-434.0,21.0,0.0,0.0,0.8182,0.73,4.16,0.12,0.0,0.0,0.0,1.0,-1.0,-5.0,0.0
4/9/2018 18:15,1,team,0,K1ck Neosurf,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1365.7031,0.0,3.6328,1.2891,1245.0586,34.4531,18223.0,301.0,549.0,-440.0,-27.0,30023.0,523.0,903.0,434.0,-21.0,0.0,0.0,1.2222,0.88,4.25,0.23,0.0,0.0,0.0,-1.0,1.0,5.0,0.0
4/9/2018 19:24,0,top,Mykilu,Spain5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5079,0.158235,0.4435,0.2218,197.8036,7.603,4170.0,65.0,-773.0,-112.0,-9.0,6868.0,115.0,-864.0,-479.0,-14.0,0.0,0.0,0.25,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,0,jng,Carbono,Spain5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.7592,0.091907,0.8237,0.2218,191.7212,6.1457,4314.0,76.0,-59.0,477.0,21.0,6890.0,114.0,277.0,1155.0,28.0,0.0,0.0,0.0,0.19,4.24,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,0,mid,xTyLk,Spain5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.3284,0.317948,0.3485,0.3801,211.0454,9.3136,4921.0,97.0,-64.0,37.0,-4.0,7819.0,159.0,-264.0,-46.0,-9.0,0.0,0.0,0.0,0.06,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,0,bot,nash1c,Spain5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.8596,0.363679,0.3168,0.095,248.0781,8.68,3368.0,93.0,356.0,345.0,1.0,5512.0,140.0,-98.0,-78.0,-10.0,0.0,0.0,1.3333,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4/9/2018 19:24,0,sup,Skain,Spain5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7265,0.0682315,1.3939,0.3485,93.9916,0.5702,3080.0,4.0,187.0,86.0,-10.0,4173.0,8.0,565.0,200.0,-11.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,1,top,Robocop,eSuba,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.16900000000004,0.176003,0.5702,0.095,278.2365,9.1235,4282.0,74.0,773.0,112.0,9.0,7347.0,129.0,864.0,479.0,14.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,1,jng,Jejky,eSuba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4815,0.120046,0.5702,0.5702,231.8902,5.7656,3837.0,55.0,59.0,-477.0,-21.0,5735.0,86.0,-277.0,-1155.0,-28.0,0.0,0.0,1.0,0.41,2.76,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,1,mid,Humanoid,eSuba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.5639,0.30837,0.5069,0.3485,400.5174,12.0697,4884.0,101.0,64.0,-37.0,4.0,7865.0,168.0,264.0,46.0,9.0,0.0,0.0,8.0,0.13,0.86,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,1,bot,Nardeus,eSuba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.1827,0.333389,0.4118,0.1901,335.13199999999995,9.5354,3023.0,92.0,-356.0,-345.0,-1.0,5590.0,150.0,98.0,78.0,10.0,0.0,0.0,5.0,0.25,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4/9/2018 19:24,1,sup,denyk,eSuba,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8025,0.0621922,1.0454,0.2218,156.2091,2.1859,2994.0,14.0,-187.0,-86.0,10.0,3973.0,19.0,-565.0,-200.0,11.0,0.0,0.0,0.5,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 19:24,0,team,0,Spain5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.1816,0.0,3.3263,1.2672,942.5766,32.3126,19853.0,335.0,-353.0,833.0,-1.0,31262.0,536.0,-384.0,752.0,-16.0,0.0,0.0,0.3529,0.44,4.75,0.25,-3.0,-3.0,0.0,-1.0,-1.0,-6.0,-1.0
4/9/2018 19:24,1,team,0,eSuba,1,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2103.1996,0.0,3.1045,1.4256,1401.9219,38.68,19020.0,336.0,353.0,-833.0,1.0,30510.0,552.0,384.0,-752.0,16.0,0.0,0.0,2.8333,1.39,4.12,0.16,3.0,3.0,0.0,1.0,1.0,6.0,1.0
4/9/2018 20:19,0,top,WeiZoR,Packa Pappas Kappsäck,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.077,0.172456,0.4744,0.253,285.5772,8.7928,4486.0,78.0,-421.0,0.0,1.0,6826.0,117.0,-581.0,-229.0,-4.0,0.0,0.0,3.0,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
